ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,categories
0671721755,8.0,IF I PAY THEE NOT IN GOLD,Launius Anthony,1993,Baen,Fiction
0671721860,9.0,Three Hearts and Three Lions,Poul Anderson,1993,Baen,Fiction
0671721941,10.0,The Disinherited,Steve White,1993,Baen,Aristocracy (Social class)
0671722069,7.25,Farnham's Freehold,Robert A. Heinlein,1994,Baen,Fiction
067172262X,8.708333333333334,Hamlet,William Shakespeare,1992,Washington Square Press,Drama
0671722816,8.666666666666666,Othello,William Shakespeare,1993,Washington Square Press,Fiction
0671722840,8.2,RICHARD III,William Shakespeare,1996,Washington Square Press,Drama
0671722905,6.666666666666667,The TEMPEST,William Shakespeare,1994,Washington Square Press,Drama
0671723227,8.75,Wiseguy,Nicholas Pileggi,1990,Pocket,True Crime
0671724053,7.0,LULLABY AND GOODNIGHT,Bettany Hughes,1992,Pocket,Fiction
0671724738,7.2,Postcards from the Edge,Carrie Fisher,1990,Pocket,Fiction
0671725130,10.0,Straight from the Heart: My Life in Politics and Other Places,Ann Richards,1990,Simon &amp; Schuster,Biography & Autobiography
0671725211,8.0,FAMILY AFFAIRS,David Hoffman,1992,Pocket,Young Adult Fiction
0671725661,7.0,West Side Story,Irving Shulman,1990,Pocket,American drama
0671726528,8.8,Kon-Tiki: Across the Pacific by Raft,Thor Heyerdahl,1990,Pocket,Ethnology
0671726544,9.0,"The Tragedy of Hamlet, Prince of Denmark",William Shakespeare,1992,Pocket Books,Juvenile Fiction
0671726900,7.5,GOING HOME,Danielle Steel,1990,Pocket,Fiction
0671727591,9.0,STORYTELLER,Harold Robbins,1990,Pocket,Fiction
0671727893,8.666666666666666,POCKET BOOK OF OGDEN NASH,Ogden Nash,1990,Pocket,Fiction
067172827X,7.0,Wilderness,Dennis Danvers,1991,Simon &amp; Schuster,Forest reserves
0671729462,7.55,My Sweet Audrina,V.C. Andrews,1990,Pocket,Fiction
0671730177,8.75,The Ultimate Maze Book,David Anson Russo,1991,Simon &amp; Schuster,Games & Activities
0671731408,8.5,CATCH ME IF YOU CAN,Frank W. Abagnale,1990,Pocket,True Crime
0671732528,9.333333333333334,Tales of Power,Carlos Castaneda,1991,Washington Square Press,"Body, Mind & Spirit"
0671732552,6.666666666666667,TRIAL BY FIRE,Harold Coyle,1992,Simon &amp; Schuster,True Crime
0671733346,8.0,CINDERELLA COMPLEX,Colette Dowling,1990,Pocket,Dependencia (Psicología)
0671733354,7.0,How to Stop Worrying and Start Living,Dale Carnegie,1990,Pocket,"Body, Mind & Spirit"
0671733885,7.5,Sole Survivor : Children Who Kill Their Families,Elliott Leyton,1992,Pocket,Social Science
0671734296,7.5,NO BODY,Nancy Pickard,1987,Pocket,Fiction
067173458X,7.0,Inside the CIA,Ronald Kessler,1994,Pocket,Political Science
0671735578,8.0,How to Read a Person Like a Book,Gerard Nierenberg,1990,Pocket,Language Arts & Disciplines
0671737430,8.5,The Blessing,Gary Smalley,1990,Pocket,Religion
0671737627,7.285714285714286,Once and Always,Judith McNaught,1990,Pocket,Fiction
0671737635,8.083333333333334,Something Wonderful,Judith McNaught,1991,Pocket,Biography & Autobiography
0671737643,7.625,"Whitney, My Love",Judith McNaught,1991,Pocket,Fiction
0671737791,7.6,The Bride,Julie Garwood,1991,Pocket Star,Fiction
0671739379,8.0,BAMBI,Felix Salten,1992,Simon &amp; Schuster Children's Publishing,Juvenile Fiction
0671739468,8.0,MOGULS AND MADMEN: THE PURSUIT OF POWER IN POPULAR MUSIC,Jory Farr,1994,Simon &amp; Schuster,Music
0671739751,8.333333333333334,Velvet Song,Jude Deveraux,1991,Pocket,Domestic fiction
067173976X,6.888888888888889,Counterfeit Lady,Jude Deveraux,1991,Pocket,Fiction
0671740326,5.0,Genome: The Story of the Most Astonishing Scientific Adventure of Our Time the Attempt to Map All the Genes in the Human Body,Jerry E. Bishop,1991,Simon &amp; Schuster,Science
0671741039,9.375,Swan Song,Robert McCammon,1987,Pocket,Fiction
0671741187,7.5,Where Are the Children?,Mary Higgins Clark,1992,Pocket,Cape Cod (Mass.)
0671741195,7.814814814814815,The Cradle Will Fall,Mary Higgins Clark,1991,Pocket,Fiction
0671742353,8.0,MACHINE DREAMS,Jayne Anne Phillip,1992,Pocket,Fiction
0671742493,8.090909090909092,Delta Of Venus,Anais Nin,1991,Pocket,Fiction
0671742558,8.083333333333334,Almost Heaven,Judith McNaught,1991,Pocket,Fiction
0671742752,8.0,PERSONAL EFFECTS,Marissa Piesman,1991,Pocket,Military funerals
0671742884,7.5,Cabal,Clive Barker,1991,Pocket,Fiction
067174349X,7.5,30 Days to a More Powerful Vocabulary,Wilfred Funk,1991,Pocket,Education
0671743686,8.5,For Love Alone,Ivana Trump,1992,Pocket Books,Factories
0671743694,7.5,FOR LOVE ALONE,Ivana Trump,1993,Pocket,Factories
0671743783,7.4,The Awakening,Jude Deveraux,1991,Pocket,Fiction
0671743805,6.8,The Princess,Jude Deveraux,1991,Pocket,Fiction
0671743821,6.5,Sweetbriar,Jude Deveraux,1991,Pocket,Education
0671744062,7.25,FIREBRAND,Marion Zimmer Bradley,1991,Pocket,Fiction
0671744208,8.266666666666667,Castles,Julie Garwood,1993,Pocket,Fiction
0671744224,9.5,SAVING GRACE,Julie Garwood,1993,Atria,Fiction
0671744224,9.5,SAVING GRACE,Julie Garwood,1993,Atria,Biography & Autobiography
0671744283,8.666666666666666,I Remember,Dan Rather,1991,Simon &amp; Schuster,Education
0671744283,8.666666666666666,I Remember,Dan Rather,1991,Simon &amp; Schuster,Art
0671744593,9.0,Remembrance,Jude Deveraux,1994,Pocket Books,Fiction
0671744615,8.571428571428571,LEGEND,Jude Deveraux,1996,Atria,Juvenile Fiction
0671744682,6.0,"Legacy (Star Trek, Book 56)",Michael Jan Friedman,1991,Star Trek,"Body, Mind & Spirit"
0671745077,6.5,MONSTER,Christopher Pike,1992,Simon Pulse,Fiction
0671745263,6.5,The IMMORTALS,Michael Korda,1992,Simon &amp; Schuster,Biography & Autobiography
0671745883,8.0,The Third Life of Grange Copeland,Alice Walker,1991,Pocket Books,Fiction
0671746065,8.75,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1991,Pocket,Science
0671747150,7.428571428571429,Fancy Pants,Susan Elizabeth Phillips,1991,Pocket,Fiction
0671748882,7.25,The Red Horseman,Stephen Coonts,1994,Pocket,Fiction
0671749099,8.0,Memoirs,Kinglsey Amis,1991,Simon &amp; Schuster,Fiction
067174920x,10.0,ENDANGERED MINDS : Why Children Dont Think And What We Can Do About It,Jane Healy,1991,Simon &amp; Schuster,Education
0671749412,7.0,Going Home,Danielle Steel,1991,Pocket,Fiction
0671750615,7.0,The Man Who Knew Infinity: A Life of the Genius Ramanujan,Robert Kanigel,1991,Washington Square Press,Biography & Autobiography
067175081X,5.0,My Teacher Flunked the Planet,Bruce Coville,1992,Aladdin,Juvenile Fiction
0671751077,10.0,And No Birds Sing: The Story of an Ecological Disaster in a Tropical Paradise,Mark Jaffe,1994,Simon &amp; Schuster,Science
0671754998,9.0,"HORSEMAN, PASS BY",Larry McMurtry,1992,Simon &amp; Schuster,Fiction
0671759345,7.586206896551724,Ruby (Landry),V.C. Andrews,1994,Pocket,Fiction
0671761226,10.0,Earl Mindell's Herb Bible,Earl Mindell,1992,Simon &amp; Schuster,Health & Fitness
0671761749,6.0,Be My Guest,Conrad Hilton,2004,Fireside Books,Social Science
0671762915,5.0,The First Three Years of Life,Burton L. White,1993,Simon &amp; Schuster,Family & Relationships
0671765914,7.5,YOU CAN IF YOU THINK YOU CAN,Norman Vincent Peale,1987,Fireside Books,Psychology
0671765973,10.0,Zolar's Encyclopedia of Ancient and Forbidden Knowledge.,Zolar,1992,Fireside Books,Astrology
0671767127,6.0,Simplicity's Simply the Best Home Decorating Book,Simplicity Pattern Co.,1993,Simon &amp; Schuster,Art
0671769669,7.0,Teaching Your Children Values,Richard Eyre,1993,Fireside,Family & Relationships
067176991X,6.0,Mystery Walk,Robert R. McCammon,1992,Pocket,Fiction
0671770810,3.0,DOG CALLED KITTY,Bill Wallace,1992,Aladdin,Juvenile Fiction
0671774646,8.0,The Seeker,Melinda Metz,2000,Simon Spotlight Entertainment,Fiction
0671775391,8.0,CRUEL DOUBT,Joe McGinniss,1992,Pocket,True Crime
0671775596,5.0,"A Titanic Journey Across The Sea, 1912 (American Sisters)",Laurie Lawlor,2000,Aladdin,Juvenile Nonfiction
0671775820,3.0,Head Games,Christopher Golden,2000,Simon Pulse,Health & Fitness
0671775839,5.0,Skin Deep,Christopher Golden,2000,Simon Pulse,Design
0671775839,5.0,Skin Deep,Christopher Golden,2000,Simon Pulse,Fiction
0671775847,8.0,Burning Bones,Christopher Golden,2001,Simon Pulse,Juvenile Fiction
0671776096,9.0,"Whitney, My Love",Judith McNaught,2000,Pocket,Fiction
0671776509,7.0,"Frequent Flyer: One Plane, One Passenger, and the Spectacular Feat of Commercial Flight",Bob Reiss,1994,Simon &amp; Schuster,Business & Economics
0671778714,7.8,HIDDEN TALENTS,Jayne Ann Krentz,1993,Pocket,Juvenile Fiction
067177932X,7.0,Border Lord,Arnette Lamb,1993,Pocket,Fiction
0671779729,5.0,Schindler's List,Thomas Keneally,1992,Touchstone,Fiction
0671779826,8.0,The Happiest Man Alive: A Biography of Henry Miller,Mary V. Dearborn,1992,Touchstone Books,"Authors, American"
0671780328,10.0,Revolution for the Hell of It,Abbie Hoffman,2000,Pocket Books,Radicalism
0671781138,5.0,General Introduction to Psychoanalysis,Sigmund Freud,0,Pocket Books,Social Science
0671781707,6.5,A separate reality : further conversations with Don Juan,Carlos Castaneda,1972,Pocket Books,Fiction
0671782274,5.5,Making Love: An Erotic Odyssey,Richard Rhodes,1992,Simon &amp; Schuster,Social Science
0671782525,7.2,SLEEPING BEAUTY,Judith Michael,1992,Pocket,Juvenile Fiction
0671784668,8.0,OUR MAN IN HAVANA,Henry Graham Greene,1974,Pocket,Classical fiction
0671784684,8.333333333333334,Devil's Juggler,Murray Smith,1994,Pocket Books (Mm),Fiction
0671785400,10.0,No News at Throat Lake,Lawrence Donegan,2000,Atria,Country life
0671785915,7.0,Voices Carry,Mariah Stewart,2001,Pocket,Biography & Autobiography
0671786040,8.0,Black Dog,Stephen Booth,2001,Pocket,Fiction
0671786466,5.666666666666667,Paradise County,Karen Robards,2001,Pocket,Fiction
0671786539,8.0,To Trust a Stranger,Karen Robards,2001,Atria,Fiction
0671786601,6.833333333333333,To Trust a Stranger,Karen Robards,2002,Pocket Star,Fiction
0671786660,7.0,Even Steven,John Gilstrap,2000,Atria,Juvenile Fiction
0671786733,7.0,Even Steven,John Gilstrap,2001,Pocket,Juvenile Fiction
0671787187,8.0,We Band of Angels : The Untold Story of American Nurses Trapped on Bataan by the Japanese,Elizabeth M. Norman,2000,Atria,History
0671787381,7.0,EASY WAY OUT,Stephen McCauley,1993,Washington Square Press,Fiction
0671787918,7.666666666666667,Shadowland,Jenny Carroll,2000,Simon Pulse,Fiction
0671787977,5.0,HOUSE DIVIDED,Pearl S. Buck,1975,Pocket,History
0671788000,9.0,Time and Time Again,Dennis Danvers,1994,Simon &amp; Schuster,Fiction
0671788124,8.0,Reunion,Jenny Carroll,2001,Simon Pulse,Fiction
0671789422,8.178571428571429,Possessing the Secret of Joy,Alice Walker,1993,Pocket,Fiction
0671789457,6.666666666666667,Possessing the Secret of Joy,Alice Walker,1997,Washington Square Press,Fiction
0671792245,9.5,EVOLUTION OF CONSCIOUSNESS: THE ORIGINS OF THE WAY WE THINK,Robert Ornstein,1992,Simon &amp; Schuster,Psychology
067179227X,4.0,DEN OF THIEVES,James B. Stewart,1992,Simon &amp; Schuster,True Crime
0671793233,7.0,"Crossroad (Star Trek, Book 71)",Barbara Hambly,1994,Star Trek,Fiction
0671793241,7.5,"The Starship Trap (Star Trek, Book 64)",Mel Gilden,1993,Star Trek,Fiction
067179552X,7.5,PERFECT,Judith McNaught,1993,Atria,Juvenile Fiction
0671795538,7.947368421052632,Perfect,Judith McNaught,1994,Pocket,Juvenile Fiction
0671795554,6.882352941176471,Remember When,Judith McNaught,1997,Pocket,Fiction
0671795627,7.0,Sarek (Star Trek),A.C. Crispin,1995,Star Trek,Fiction
0671795791,7.5,Total eclipse,Liz Rigbey,1995,Pocket Books,Juvenile Fiction
0671795899,8.666666666666666,Lonesome Dove,Larry McMurtry,1993,Pocket,Fiction
0671796585,6.0,Trial By Fire,Harold Coyle,1993,Pocket,True Crime
0671797344,8.0,Snowbird,Stef Ann Holm,1994,Pocket,Skis and skiing
0671797468,7.0,"The Romulan Prize (Star Trek The Next Generation, No 26)",Simon Hawke,1993,Star Trek,Fiction
0671797476,6.666666666666667,"Grounded (Star Trek The Next Generation, No 25)",David Bischoff,1993,Star Trek,Fiction
0671798154,6.5,FIVE PAST MIDNIGHT,James Thayer,1998,Pocket,History
0671799045,4.25,EVENING STAR,Larry McMurtry,1993,Pocket,Fiction
067179938X,7.75,Son of the Morning,Linda Howard,1997,Pocket,Fiction
0671799649,10.0,About Time,Paul Davies,1995,Simon &amp; Schuster,History
0671802283,8.0,JUDY GARLAND,Anne E. Edwards,1975,Pocket,Biography & Autobiography
0671806769,4.5,TALES OF POWER,Carlos Castaneda,1976,Pocket,"Body, Mind & Spirit"
067180720X,9.0,CURTAIN,Agatha Christie,1976,Pocket,Literary Criticism
067180751X,5.0,JULIA,Unknown,1977,Pocket,Self-Help
0671807919,8.0,BELIEVE,Marina Vaizey,1976,Pocket,Self-Help
0671819194,6.0,MARIE,Arnold,1979,Pocket,Biography
0671822780,5.0,GODS MEN,Pearl S. Buck,1978,Pocket,Fiction
0671823035,7.0,Dreams Die First,Harold Robbins,1978,Pocket Books,Fiction
0671823884,8.0,Good As Gold,Joseph Heller,1979,Pocket Books,Fiction
0671825046,9.0,WHEN IN GREECE,Emma Lathen,1985,Pocket,Fiction
0671825348,5.0,Halloween Party,Agatha Christie,0,Pocket Books,Fiction
0671826123,8.0,TOWARDS ZERO,Agatha Christie,1979,Pocket,"Battle, Superintendent (Fictitious character)"
0671827871,5.0,ALONE,Rod McKuen,1978,Pocket,History
0671829688,5.0,NEMESIS,Agatha Christie,1979,Pocket,Fiction
0671831267,5.0,666,Jay Anson,1982,Pocket Books,Fiction
0671835467,9.0,Anne Frank: The Diary of a Young Girl,Anne Frank,1958,Pocket Books,Biography & Autobiography
0671853414,7.0,Trauma,Ken McClure,1996,Simon &amp; Schuster (Trade Division),Psychology
0671854003,6.0,Facing the Music,Jane Torvill,1996,Simon &amp; Schuster (Trade Division),Manners and customs
0671864173,7.05,WAITING TO EXHALE,Terry McMillan,1993,Pocket,Fiction
0671864777,8.0,The Rag Nymph,Catherine Cookson,1993,Simon &amp; Schuster,Fiction
0671864858,6.666666666666667,"Possession (Star Trek: The Next Generation, No. 40)",J.M. Dillard,1996,Star Trek,Fiction
0671866362,6.0,Penny Black's the Book of Cards and Collages,Penny Black,1993,Simon &amp; Schuster,Art
0671867083,7.888888888888889,REMEMBER ME,Mary Higgins Clark,1994,Simon &amp; Schuster,Fiction
0671867091,7.916666666666667,Remember Me,Mary Higgins Clark,1995,Pocket,Fiction
0671867318,7.0,SAHARA,Clive Cussler,1993,Pocket,Fiction
0671867636,7.0,The Riverman : Ted Bundy and I Hunt for the Green River Killer,Robert Keppel,1995,Pocket,True Crime
0671867806,4.0,Being And Nothingness,Jean-Paul Sartre,1993,Washington Square Press,Philosophy
0671868691,7.620689655172414,Bitter Harvest,Ann Rule,1999,Pocket,True Crime
0671868713,8.05,And Never Let Her Go : Thomas Capano: The Deadly Seducer,Ann Rule,2000,Pocket,True Crime
0671870114,8.176470588235293,Saving Grace,Julie Garwood,1994,Pocket,Fiction
0671870114,8.176470588235293,Saving Grace,Julie Garwood,1994,Pocket,Biography & Autobiography
0671870432,8.0,PLEADING GUILTY,Scott Turow,1993,Audioworks,Fiction
0671870610,7.666666666666667,The INTRUDERS,Stephen Coonts,1995,Pocket,Fiction
0671870858,5.0,"Line of Fire (Star Trek: The Next Generation - Starfleet Academy, Book 2)",Peter David,1993,Aladdin,Fiction
0671870882,6.0,SHOCK ROCK II : SHOCK ROCK II,Jeff Gelb,1994,Pocket,Fiction
0671870955,8.2,PRINCE CHARMING,Julie Garwood,1994,Atria,Fiction
0671870963,8.375,Prince Charming,Julie Garwood,1995,Pocket,Fiction
0671870998,7.545454545454546,The Wedding,Julie Garwood,1996,Pocket Books,Reference
0671871005,8.333333333333334,The WEDDING,Julie Garwood,1997,Pocket Star,Reference
0671871498,8.5,Ashton's Bride,Judith O'Brien,1995,Pocket,Fiction
0671871579,5.0,AMERICA: WHO REALLY PAYS THE TAXES?,Donald L. Barlett,1994,"Acacia Press, Inc.",Business & Economics
0671872885,10.0,"New Adventures Of Mother Goose, The",Bruce Lansky,1993,Meadowbrook,Mother Goose
0671872958,7.5,TYCOON,Harold Robbins,1998,Pocket,Biography & Autobiography
0671873164,7.666666666666667,Pirates,Linda Lael Miller,1996,Pocket,Juvenile Nonfiction
0671873172,7.5,KNIGHTS,Linda Lael Miller,1996,Pocket,History
0671874845,7.0,The Carpetbaggers,Harold Robbins,1997,Pocket Books,Fiction
0671875744,8.0,All That Glitters,V. C. Andrews,1995,Pocket Books,Fiction
0671875744,8.0,All That Glitters,V. C. Andrews,1995,Pocket Books,Business & Economics
0671875809,8.0,A GATHERING OF SAINTS,Christopher Hyde,1996,Atria,Book of Mormon
0671875817,8.0,A GATHERING OF SAINTS,Christopher Hyde,1997,Pocket,Book of Mormon
0671876198,8.333333333333334,Sporting Chance,Elizabeth Moon,1994,Baen,Juvenile Nonfiction
0671876236,7.428571428571429,IF I PAY THEE NOT IN GOLD,Piers Anthony,1994,Baen,Fiction
0671876414,9.0,The SHERWOOD GAME,Esther Friesner,1995,Baen,Fiction
0671876422,9.5,Oath of Swords,David Weber,1995,Baen,Fiction
0671876430,8.0,LEGACY,Steve White,1995,Baen,Sports & Recreation
0671876457,10.0,The Sword of Knowledge,C.J. Cherryh,1995,Baen,Fiction
0671876473,7.0,"The Sword (The Raj Whitehall Series: The General, Book 5)",S.M. Stirling,1995,Baen,Fiction
0671876546,7.0,MIND OF THE MAGIC,Holly Lisle,1995,Baen,Psychology
0671876643,5.0,The MAGNIFICENT WILF,Gordon R. Dickson,1995,Baen,Fiction
0671877038,9.0,SYMPATHY FOR THE DEVIL,Holly Lisle,1995,Baen,Fiction
0671877046,8.25,Glory Road,Robert A. Heinlein,1996,Baen,Fiction
0671877119,5.0,Drakon,S.M. Stirling,1996,Baen,Fiction
0671877135,6.7,LAMMAS NIGHT,Mercedes Lackey,1996,Baen,Fiction
067187716X,8.0,The GATEKEEPERS,Daniel Graham,1996,Baen,History
0671877828,7.0,YOUNG MILES,Lois McMaster Bujold,1997,Baen,Fiction
067187876X,6.666666666666667,Armageddon,Billie Sue Mosiman,1998,Baen,Fiction
0671880187,7.886363636363637,Kitchen,Banana Yoshimoto,1994,Washington Square Press,Cooking
0671880314,8.305555555555555,Schindler's List,Thomas Keneally,1993,Touchstone,Fiction
0671880551,8.0,The Beast,R. L. Stine,1994,Aladdin,Social Science
0671880594,7.0,Until You,Judith McNaught,1994,Pocket Books,Fiction
0671880608,7.411764705882353,Until You,Judith McNaught,1995,Pocket,Fiction
0671880748,5.0,Gates : How Microsoft's Mogul Reinvented an Industry--and Made Himself the Richest Man in America,Stephen Manes,1994,Touchstone,Biography & Autobiography
0671880845,4.333333333333333,Daddy Was the Black Dahlia Killer : The Identity of America's Most Notorious Serial Murderer--Revealed at Last,Janice Knowlton,1995,Pocket,True Crime
0671881604,7.333333333333333,Isabel's Bed,Elinor Lipman,1995,Pocket Books,Fiction
0671881612,6.75,Isabel'S Bed,Elinor Lipman,1996,Pocket,Fiction
0671881884,8.25,COYOTE BLUE,Christopher Moore,1994,Simon &amp; Schuster,Fiction
067188218X,6.0,Betrayed (Clan MacKenzie Triology),Arnette Lamb,1995,Pocket,Fiction
0671882198,5.0,Beguiled,Arnette Lamb,1996,Pocket,Fiction
0671882201,6.0,Maiden of Inverness,Arnette Lamb,1995,Pocket,Fiction
0671882287,8.0,SCHINDLER'S LIST,Thomas Keneally,1993,Simon &amp; Schuster Audio,Fiction
0671883895,8.0,AFTERMATH,Mariann Hybels-steer,1995,Fireside,History
0671884484,6.2,Mama,Terry McMillan,1994,Pocket,Juvenile Fiction
0671885170,9.0,The MANHUNTER,John Pascucci,1997,Pocket Star,Fiction
0671885332,6.714285714285714,AT PARADISE GATE,Jane Smiley,1993,Touchstone,Fiction
0671885987,10.0,ROBERT BLOCHS PSYCHOS,Robert Bloch,1998,Pocket Books,Fiction
0671886665,7.689655172413793,A Cry In The Night,Mary Higgins Clark,1993,Pocket,Fiction
0671887165,7.0,Teaching Your Children Responsibility,Richard Eyre,1994,Fireside,Family & Relationships
0671887246,7.0,SCIENCE OF DESIRE,Dean Hamer,1994,Simon &amp; Schuster,Science
0671887289,7.0,THREE STEPS TO A STRONG FAMILY,Linda &amp; richard Eyre,1994,Simon &amp; Schuster,Family & Relationships
0671887297,6.0,"DON'T JUST DO SOMETHING, SIT THERE!",Richard Eyre,1995,Fireside,Self-Help
0671887947,6.5,The Whole Truth,Nancy Pickard,2001,Pocket,Fiction
0671887955,7.666666666666667,The Whole Truth,Nancy Pickard,2000,Atria,Fiction
0671888587,7.555555555555555,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,Biography & Autobiography
0671888722,10.0,REVELATION,Peter Lorie,1995,Simon &amp; Schuster,Literary Collections
0671891081,8.142857142857142,The Blessing,Jude Deveraux,1998,Atria,Religion
067189109X,6.125,The Blessing,Jude Deveraux,1999,Pocket Star,Religion
0671891537,9.0,Betrayal,Gwen Hunter,1994,Pocket Books,Political Science
0671891650,6.333333333333333,PRETTY BOY FLOYD,Larry McMurtry,1994,Simon &amp; Schuster,Biography & Autobiography
0671891677,8.0,Pretty Boy Floyd,Larry McMurtry,1995,Pocket,Biography & Autobiography
0671892460,5.0,Creating a Butterfly Garden,Marcus Schneck,1994,Fireside,Gardening
0671894412,7.25,All the President's Men,Carl Bernstein,1994,Simon &amp; Schuster,History
0671896725,6.0,Task Force Blue (Rogue Warrior),Richard Marcinko,1997,Pocket,Adventure
0671896741,6.0,DESIGNATION GOLD ROGUE WARRIOR,Richard Marcinko,1998,Pocket,Fiction
0671896814,9.0,Forrest Gump,Winston Groom,1994,Audioworks,Fiction
0671897071,8.333333333333334,Girl : A Novel,Blake Nelson,1994,Touchstone,Fiction
0671897179,4.0,"WILD, COLD STATE",Debra Monroe,1995,Simon &amp; Schuster,Fiction
0671898019,5.0,SOUTH OF HEAVEN: WELCOME TO HIGH SCHOOL AT THE END OF 20TH CENTURY,Thomas French,1996,Pocket,Education
0671898493,6.833333333333333,Hollywood Kids,Jackie Collins,1995,Pocket,Fiction
0671899562,8.0,Possessions,Judith Michael,1994,Pocket,Fiction
0671899597,7.5,Sleeping Beauty,Judith Michael,1994,Pocket,Juvenile Fiction
0672301687,7.0,Advanced C/Book and Disk,Peter D. Hipson,1992,Macmillan Computer Pub,Computers
0672307456,5.0,Html and Cgi Unleashed/Book and Cd-Rom,John December,1995,Macmillan Computer Pub,Computers
0672312999,5.0,Teach Yourself OOP with VB 5 in 21 Days,"John D, III Conley",1998,Macmillan Computer Pub,Computers
0672317354,7.0,Sams Teach Yourself Python in 24 Hours (Teach Yourself -- 24 Hours),Ivan Van Laningham,2000,Sams,Computers
067252161X,5.0,Christ in Concrete,Pietro Di Donato,1975,Bobbs-Merrill Co,American fiction
0673157202,10.0,Tempest,William Shakespeare,1983,Addison-Wesley,Drama
0673388735,10.0,The Complete Works of Shakespeare,David Bevington,1991,HarperCollins Publishers,Drama
0673393585,6.0,Eleanor Roosevelt: A Personal and Public Life,J. William T. Youngs,1985,Addison-Wesley Pub Co,Biography & Autobiography
0673393976,7.0,Perspectives on Nursing Theory,Leslie H. Nicoll,1998,Addison-Wesley Educational Publishers,Medical
0673398595,10.0,"The Little, Brown Handbook",H. Ramsey Fowler,1989,Addison-Wesley,Language Arts & Disciplines
0673520951,7.0,Technical writing,John M Lannon,1991,HarperCollins,Reference
0673521214,7.0,A Short Course in Photography: An Introduction to Black-And-White Photographic Technique,Barbara London,1991,Addison-Wesley Pub Co,Photography
067352132X,6.5,"The Little, Brown Handbook",H. Ramsey Fowler,1997,Addison-Wesley,Language Arts & Disciplines
0673524396,10.0,A Short Course in Photography: An Introduction to Black-And-White Photographic Technique,Barbara London,1996,Addison-Wesley Pub Co,Photography
0673980944,9.0,Abnormal Psychology,David S. Holmes,1996,Addison-Wesley,Education
0673995526,1.0,College Algebra,Margaret L. Lial,1997,HarperCollins Publishers,Mathematics
0673999866,10.0,Pointers on C,Kenneth A. Reek,1997,Addison Wesley Publishing Company,Computers
0674006712,3.5,Empire,Michael Hardt,2001,Harvard University Press,Philosophy
067400728X,10.0,The Rise of Southern Republicans,Earl Black,2002,Belknap Press,Political Science
0674011813,10.0,For Love of Insects,Thomas Eisner,2003,Belknap Press,Nature
0674154215,4.5,"The Complete Letters of Sigmund Freud to Wilhelm Fliess, 1887-1904",Jeffrey Masson,1986,Belknap Press,Psychology
0674242548,8.0,Eleanor of Aquitaine and the Four Kings,Amy Ruth Kelly,1974,Harvard University Press,Biography & Autobiography
0674405676,9.0,The Holocaust and the Historians,Lucy Dawidowicz,1983,Harvard University Press,History
0674443020,10.0,The Ideological Origins of the American Revolution,Bernard Bailyn,1992,Belknap Press,History
0674447271,5.0,In Struggle : SNCC and the Black Awakening of the 1960s,Clayborne Carson,1995,Harvard University Press,History
067446866X,5.0,Islamic Art,Barbara Brend,1992,Harvard University Press,Art
0674511255,8.0,The Last Best Hope of Earth: Abraham Lincoln and the Promise of America,"Mark E., Jr. Neely",1993,Harvard University Press,Presidents
0674566769,8.0,"Memory Distortion: How Minds, Brains, and Societies Reconstruct the Past",Daniel L. Schacter,1997,Harvard University Press,Psychology
0674663233,8.0,Persuasions of the Witch's Craft: Ritual Magic in Contemporary England,T.M. Luhrmann,1989,Harvard University Press,"Body, Mind & Spirit"
0674663241,8.0,Persuasions of the Witch's Craft: Ritual Magic in Contemporary England,T.M. Luhrmann,1991,Harvard University Press,"Body, Mind & Spirit"
0679312064,7.857142857142857,Dropped Threads 2: More of What We Aren't Told,Carol Shields,2003,Vintage Books Canada,Literary Collections
0679312153,10.0,Awol: Tales for Travel-Inspired Minds,Jennifer Barclay,2003,Vintage Books Canada,Literary Collections
0679400303,8.0,Random House Word Menu,Stephen Glazier,1992,Random House Inc,Reference
0679401350,7.5,Damage,Josephine Hart,1991,Random House Inc,Fiction
0679401385,6.4,Mr. X,Peter Straub,1999,Random House Trade,Science
0679401431,7.0,The Last Don,Mario Puzo,1996,Random House Inc,Fiction
0679401881,5.0,Chicago Loop,Paul Theroux,1991,Random House Inc,Transportation
067940211X,9.5,Primal Fear,William Diehl,1993,Random House Inc,Fiction
0679402160,5.0,Vanessa Redgrave: An Autobiography,Vanessa Redgrave,1994,Random House Inc,Biography & Autobiography
0679402470,7.666666666666667,Millroy the Magician,Paul Theroux,1994,Random House Inc,Fiction
0679402535,9.0,Toujours Provence,Peter Mayle,1991,Alfred A. Knopf,Travel
0679402756,7.0,Topless,D. Keith Mano,1991,Random House Inc,Drama
0679402837,5.0,Sacrifice,Andrew H. Vachss,1991,Random House Inc,Biography & Autobiography
0679403477,7.0,A Natural History of Love,Diane Ackerman,1994,Random House Inc,Psychology
0679403558,7.5,Beast,Peter Benchley,1991,Random House Inc,Political Science
0679403612,8.428571428571429,Saint Maybe,Anne Tyler,1991,Random House Inc,Fiction
067940418X,6.0,Barney's Version,Mordecai Richler,1998,Random House Inc,Fiction
